Country,ISO,Year,Continent,Population,Estimate of firearms in civilian possession,Total law enforcement firearms,Total military firearms,Subregion,Total Homicides
Djibouti,DJI,2018,Africa,911000.0,28000,,19855.0,Sub-Saharan Africa,0
Dominica,DMA,2018,Americas,73000.0,5000,,,Latin America and the Caribbean,663
Dominican Republic,DOM,2018,Americas,10767000.0,795000,,106495.0,Latin America and the Caribbean,40069
Ecuador,ECU,2018,Americas,16626000.0,402000,,253668.0,Latin America and the Caribbean,37859
El Salvador,SLV,2018,Americas,6167000.0,737000,30000,127840.0,Latin America and the Caribbean,157143
Estonia,EST,2018,Europe,1306000.0,65000,18000,38760.0,Northern Europe,527
Finland,FIN,2018,Europe,5541000.0,1793000,14000,475030.0,Northern Europe,4324
France,FRA,2018,Europe,64939000.0,12732000,497000,566430.0,Western Europe,49441
French Guiana,GUF,2018,Americas,283000.0,55000,2000,,Latin America and the Caribbean,72
Georgia,GEO,2018,Asia,3973000.0,402000,41000,63950.0,Western Asia,2137
Germany,DEU,2018,Europe,80636000.0,15822000,466000,483016.0,Western Europe,40324
Ghana,GHA,2018,Africa,28657000.0,2280000,28000,18600.0,Sub-Saharan Africa,968
Greece,GRC,2018,Europe,10893000.0,1920000,99000,642510.0,Southern Europe,1268
Grenada,GRD,2018,Americas,108000.0,5000,1000,,Latin America and the Caribbean,224
Guatemala,GTM,2018,Americas,17005000.0,2062000,43000,160600.0,Latin America and the Caribbean,160137
Guyana,GUY,2018,Americas,774000.0,122000,4000,10890.0,Latin America and the Caribbean,6204
Haiti,HTI,2018,Americas,10983000.0,291000,15000,380.0,Latin America and the Caribbean,11817
Honduras,HND,2018,Americas,8305000.0,1171000,29000,107720.0,Latin America and the Caribbean,156921
Hungary,HUN,2018,Europe,9788000.0,1023000,17000,147880.0,Eastern Europe,3491
Iceland,ISL,2018,Europe,334000.0,106000,590,650.0,Northern Europe,114
India,IND,2018,Asia,1342513000.0,71101000,1700000,3900000.0,Southern Asia,243774
Ireland,IRL,2018,Europe,4749000.0,342000,3000,26636.0,Northern Europe,1583
Israel,ISR,2018,Asia,8323000.0,557000,41000,1016900.0,Western Asia,573
Italy,ITA,2018,Europe,59798000.0,8609000,273000,502960.0,Southern Europe,29515
Jamaica,JAM,2018,Americas,2813000.0,246000,12000,8681.0,Latin America and the Caribbean,58022
Japan,JPN,2018,Asia,126045000.0,377000,252000,745514.0,Eastern Asia,2496
Jordan,JOR,2018,Asia,7877000.0,1473000,60000,286450.0,Western Asia,1333
Kenya,KEN,2018,Africa,48467000.0,750000,51527,45790.0,Sub-Saharan Africa,76808
Kuwait,KWT,2018,Asia,4100000.0,685000,11000,,Western Asia,179
Kyrgyzstan,KGZ,2018,Asia,6125000.0,171000,18000,,Central Asia,438
Latvia,LVA,2018,Europe,1945000.0,205000,17000,,Northern Europe,6176
Lebanon,LBN,2018,Asia,6039000.0,1927000,41000,,Western Asia,673
Liechtenstein,LIE,2018,Europe,38000.0,11000,200,,Western Europe,5
Lithuania,LTU,2018,Europe,2831000.0,385000,17000,,Northern Europe,5204
Luxembourg,LUX,2018,Europe,584000.0,110000,5000,,Western Europe,6
Malaysia,MYS,2018,Asia,31164000.0,217000,102000,428170.0,South-eastern Asia,629
Malta,MLT,2018,Europe,421000.0,119000,1637,5547.0,Southern Europe,341
Mauritania,MRT,2018,Africa,4266000.0,120000,10000,22820.0,Sub-Saharan Africa,105
Mauritius,MUS,2018,Africa,1281000.0,106000,11000,4845.0,Sub-Saharan Africa,240
Mexico,MEX,2018,Americas,130223000.0,16809000,591000,895285.0,Latin America and the Caribbean,1261691
Mongolia,MNG,2018,Asia,3052000.0,242000,7000,323400.0,Eastern Asia,10362
Montenegro,MNE,2018,Europe,626000.0,245000,8000,5396.0,Southern Europe,499
Montserrat,MSR,2018,Americas,5000.0,300,90,,Latin America and the Caribbean,0
Morocco,MAR,2018,Africa,35241000.0,1690000,91000,588020.0,Northern Africa,10280
Myanmar,MMR,2018,Asia,54836000.0,877000,76000,788900.0,South-eastern Asia,7478
Namibia,NAM,2018,Africa,2569000.0,396000,15000,11880.0,Sub-Saharan Africa,2634
Nepal,NPL,2018,Asia,29187000.0,444000,62000,183540.0,Southern Asia,1344
Netherlands (Kingdom of the),NLD,2018,Europe,17033000.0,442000,96000,108676.0,Western Europe,4382
New Zealand,NZL,2018,Oceania,4605000.0,1212000,13000,38280.0,Australia and New Zealand,823
Nicaragua,NIC,2018,Americas,6218000.0,323000,8590,261800.0,Latin America and the Caribbean,9717
North Macedonia,MKD,2018,Europe,2083000.0,621000,21000,,Southern Europe,132
Norway,NOR,2018,Europe,5331000.0,1537000,13000,188646.0,Northern Europe,1552
Oman,OMN,2018,Asia,4741000.0,792000,31000,118360.0,Western Asia,671
Pakistan,PAK,2018,Asia,196744000.0,43917000,944000,2315480.0,Southern Asia,15386
Palau,PLW,2018,Oceania,22000.0,100,30,,Micronesia,4
Panama,PAN,2018,Americas,4051000.0,436000,30000,,Latin America and the Caribbean,13514
Paraguay,PRY,2018,Americas,6812000.0,1140000,21000,235780.0,Latin America and the Caribbean,8718
Peru,PER,2018,Americas,32166000.0,633000,142000,473400.0,Latin America and the Caribbean,82679
Philippines,PHL,2018,Asia,103797000.0,3776000,139043,454700.0,South-eastern Asia,64521
Poland,POL,2018,Europe,38564000.0,968000,188000,307200.0,Eastern Europe,6233
Portugal,PRT,2018,Europe,10265000.0,2186000,89000,333640.0,Southern Europe,1645
Puerto Rico,PRI,2018,Americas,3679000.0,422000,26000,,Latin America and the Caribbean,18887
Qatar,QAT,2018,Asia,2338000.0,390000,5000,30680.0,Western Asia,58
Republic of Korea,KOR,2018,Asia,50705000.0,79000,115000,2688020.0,Eastern Asia,3012
Republic of Moldova,MDA,2018,Europe,4055000.0,121000,21000,98600.0,Eastern Europe,2641
Romania,ROU,2018,Europe,19238000.0,506000,251000,240180.0,Eastern Europe,3076
Russian Federation,RUS,2018,Europe,143375000.0,17620000,2432000,30272900.0,Eastern Europe,191009
Rwanda,RWA,2018,Africa,12160000.0,66000,14000,66500.0,Sub-Saharan Africa,563
Saint Kitts and Nevis,KNA,2018,Americas,57000.0,2000,600,,Latin America and the Caribbean,1758
Saint Lucia,LCA,2018,Americas,188000.0,6000,1000,,Latin America and the Caribbean,2024
Saint Vincent and the Grenadines,VCT,2018,Americas,110000.0,4000,1000,,Latin America and the Caribbean,1578
Samoa,WSM,2018,Oceania,196000.0,20000,400,,Polynesia,63
Saudi Arabia,SAU,2018,Asia,32743000.0,5468000,214000,481350.0,Western Asia,1702
Serbia,SRB,2018,Europe,6946000.0,2719000,53100,384422.0,Southern Europe,5214
Seychelles,SYC,2018,Africa,98000.0,4000,200,798.0,Sub-Saharan Africa,17
Singapore,SGP,2018,Asia,5785000.0,20000,9000,574140.0,South-eastern Asia,353
Slovakia,SVK,2018,Europe,5432000.0,355000,43000,33150.0,Eastern Europe,3066
Slovenia,SVN,2018,Europe,2071000.0,324000,13000,131686.0,Southern Europe,448
South Africa,ZAF,2018,Africa,55436000.0,5351000,250481,350636.0,Sub-Saharan Africa,102635
Spain,ESP,2018,Europe,46070000.0,3464000,264196,333660.0,Southern Europe,20144
Sri Lanka,LKA,2018,Asia,20905000.0,494000,134000,509700.0,Southern Asia,24556
State of Palestine,PSE,2018,Asia,4928000.0,56000,33000,44410.0,Western Asia,518
Suriname,SUR,2018,Americas,552000.0,88000,2000,,Latin America and the Caribbean,1265
Sweden,SWE,2018,Europe,9921000.0,2296000,38000,,Northern Europe,10391
Switzerland,CHE,2018,Europe,8454000.0,2332000,34000,,Western Europe,3462
Thailand,THA,2018,Asia,68298000.0,10342000,230000,,South-eastern Asia,12479
Tonga,TON,2018,Oceania,108000.0,9000,200,,Polynesia,20
Trinidad and Tobago,TTO,2018,Americas,1369000.0,43000,9000,,Latin America and the Caribbean,21317
Türkiye,TUR,2018,Asia,80418000.0,13249000,620000,1390180.0,Western Asia,360307
Uganda,UGA,2018,Africa,41653000.0,331000,54000,116660.0,Sub-Saharan Africa,9003
Ukraine,UKR,2018,Europe,44405000.0,4396000,289000,6600000.0,Eastern Europe,3968
United Republic of Tanzania,TZA,2018,Africa,56878000.0,427000,37000,190050.0,Sub-Saharan Africa,13620
United States of America,USA,2018,Americas,326474000.0,393347000,1016000,4535380.0,Northern America,771001
Uruguay,URY,2018,Americas,3457000.0,1198000,30000,62130.0,Latin America and the Caribbean,24488
Uzbekistan,UZB,2018,Asia,30691000.0,127000,150000,268400.0,Central Asia,20277
Venezuela (Bolivarian Republic of),VEN,2018,Americas,31926000.0,5895000,173000,353300.0,Latin America and the Caribbean,6843
Zimbabwe,ZWE,2018,Africa,16338000.0,455000,23000,91580.0,Sub-Saharan Africa,4195
