Country,ISO,Year,Continent,Population,Estimate of firearms in civilian possession,Total law enforcement firearms,Total military firearms,Subregion,Total Homicides
Republic of Korea,KOR,2018,Asia,50705000.0,79000,115000,2688020.0,Eastern Asia,3012
Republic of Moldova,MDA,2018,Europe,4055000.0,121000,21000,98600.0,Eastern Europe,2641
Romania,ROU,2018,Europe,19238000.0,506000,251000,240180.0,Eastern Europe,3076
Russian Federation,RUS,2018,Europe,143375000.0,17620000,2432000,30272900.0,Eastern Europe,191009
Rwanda,RWA,2018,Africa,12160000.0,66000,14000,66500.0,Sub-Saharan Africa,563
Saudi Arabia,SAU,2018,Asia,32743000.0,5468000,214000,481350.0,Western Asia,1702
Serbia,SRB,2018,Europe,6946000.0,2719000,53100,384422.0,Southern Europe,5214
Seychelles,SYC,2018,Africa,98000.0,4000,200,798.0,Sub-Saharan Africa,17
Singapore,SGP,2018,Asia,5785000.0,20000,9000,574140.0,South-eastern Asia,353
Slovakia,SVK,2018,Europe,5432000.0,355000,43000,33150.0,Eastern Europe,3066
Slovenia,SVN,2018,Europe,2071000.0,324000,13000,131686.0,Southern Europe,448
South Africa,ZAF,2018,Africa,55436000.0,5351000,250481,350636.0,Sub-Saharan Africa,102635
Spain,ESP,2018,Europe,46070000.0,3464000,264196,333660.0,Southern Europe,20144
Sri Lanka,LKA,2018,Asia,20905000.0,494000,134000,509700.0,Southern Asia,24556
State of Palestine,PSE,2018,Asia,4928000.0,56000,33000,44410.0,Western Asia,518
Türkiye,TUR,2018,Asia,80418000.0,13249000,620000,1390180.0,Western Asia,360307
Uganda,UGA,2018,Africa,41653000.0,331000,54000,116660.0,Sub-Saharan Africa,9003
Ukraine,UKR,2018,Europe,44405000.0,4396000,289000,6600000.0,Eastern Europe,3968
United Republic of Tanzania,TZA,2018,Africa,56878000.0,427000,37000,190050.0,Sub-Saharan Africa,13620
United States of America,USA,2018,Americas,326474000.0,393347000,1016000,4535380.0,Northern America,771001
Uruguay,URY,2018,Americas,3457000.0,1198000,30000,62130.0,Latin America and the Caribbean,24488
Uzbekistan,UZB,2018,Asia,30691000.0,127000,150000,268400.0,Central Asia,20277
Venezuela (Bolivarian Republic of),VEN,2018,Americas,31926000.0,5895000,173000,353300.0,Latin America and the Caribbean,6843
Zimbabwe,ZWE,2018,Africa,16338000.0,455000,23000,91580.0,Sub-Saharan Africa,4195
