,Country code,Country,Region,Subregion,Population 2017,"Estimate of firearms in civilian possession","Estimate of Computation civilian firearms method per 100 persons",Method of computation,Registered firearms,Unregistered firearms
65,EST,Estonia,Europe,Northern Europe,1306000.0,65000,5.0,1.0,47000.0,18000.0
66,ETH,Ethiopia,Africa,Eastern Africa,104345000.0,377000,0.4,2.0,,
67,FLK,Falkland Islands (Malvinas),Americas,South America,3000.0,2000,62.1,2.0,1705.0,295.0
68,FRO,Faroe Islands,Europe,Northern Europe,49000.0,5000,9.9,3.0,,
69,FJI,Fiji,Oceania,Melanesia,903000.0,5000,0.5,2.0,1538.0,3462.0
70,FIN,Finland,Europe,Northern Europe,5541000.0,1793000,32.4,1.0,1542396.0,250604.0
71,FRA,France,Europe,Western Europe,64939000.0,12732000,19.6,1.0,4501235.0,8230765.0
72,GUF,French Guiana,Americas,South America,283000.0,55000,19.6,3.0,,
73,PYF,French Polynesia,Oceania,Polynesia,289000.0,7000,2.5,2.0,,
74,GAB,Gabon,Africa,Middle Africa,1801000.0,61000,3.4,2.0,,
75,GMB,Gambia,Africa,Western Africa,2120000.0,137000,6.5,2.0,,
76,GEO,Georgia,Asia,Western Asia,3973000.0,402000,10.1,2.0,159000.0,243000.0
77,DEU,Germany,Europe,Western Europe,80636000.0,15822000,19.6,1.0,5830000.0,9992000.0
78,GHA,Ghana,Africa,Western Africa,28657000.0,2280000,8.0,2.0,1236128.0,1043872.0
79,GIB,Gibraltar,Europe,Southern Europe,32000.0,1000,4.1,1.0,,
80,GRC,Greece,Europe,Southern Europe,10893000.0,1920000,17.6,1.0,1010000.0,910000.0
81,GRL,Greenland,Americas,Northern America,56000.0,13000,22.3,3.0,,
82,GRD,Grenada,Americas,Caribbean,108000.0,5000,4.6,3.0,,
83,GLP,Guadeloupe,Americas,Caribbean,472000.0,40000,8.5,2.0,5500.0,34500.0
84,GUM,Guam,Oceania,Melanesia,174000.0,20000,11.5,3.0,,
85,GTM,Guatemala,Americas,Central America,17005000.0,2062000,12.1,2.0,520792.0,1541208.0
86,GIN,Guinea,Africa,Western Africa,13291000.0,130000,1.0,2.0,,
87,GNB,Guinea-Bissau,Africa,Western Africa,1933000.0,29000,1.5,2.0,,
88,GUY,Guyana,Americas,South America,774000.0,122000,15.8,2.0,4000.0,118000.0
89,HTI,Haiti,Americas,Caribbean,10983000.0,291000,2.6,2.0,20379.0,270621.0
90,VAT,Holy See,Europe,Southern Europe,1000.0,-,0.0,2.0,,
91,HND,Honduras,Americas,Central America,8305000.0,1171000,14.1,2.0,475000.0,696000.0
92,HKG,"Hong Kong SAR, China",Asia,Eastern Asia,7402000.0,265000,3.6,3.0,,
93,HUN,Hungary,Europe,Eastern Europe,9788000.0,1023000,10.5,1.0,211300.0,811700.0
94,ISL,Iceland,Europe,Northern Europe,334000.0,106000,31.7,2.0,73000.0,33000.0
95,IND,India,Asia,Southern Asia,1342513000.0,71101000,5.3,2.0,9700000.0,61401000.0
96,IDN,Indonesia,Asia,South-eastern Asia,263510000.0,82000,0.0,2.0,41102.0,40898.0
97,IRN,"Iran, Islamic Republic of",Asia,Southern Asia,80946000.0,5890000,7.3,2.0,,
98,IRQ,Iraq,Asia,Western Asia,38654000.0,7588000,19.6,2.0,,
99,IRL,Ireland,Europe,Northern Europe,4749000.0,342000,7.2,2.0,200000.0,142000.0
100,ISR,Israel,Asia,Western Asia,8323000.0,557000,6.7,2.0,290000.0,267000.0
101,ITA,Italy,Europe,Southern Europe,59798000.0,8609000,14.4,1.0,2000000.0,6609000.0
102,JAM,Jamaica,Americas,Caribbean,2813000.0,246000,8.8,2.0,45915.0,200085.0
103,JPN,Japan,Asia,Eastern Asia,126045000.0,377000,0.3,2.0,175221.0,201779.0
104,JOR,Jordan,Asia,Western Asia,7877000.0,1473000,18.7,2.0,120000.0,1353000.0
105,KAZ,Kazakhstan,Asia,Central Asia,18064000.0,504000,2.8,2.0,284000.0,220000.0
106,KEN,Kenya,Africa,Eastern Africa,48467000.0,750000,1.5,2.0,8136.0,741864.0
107,KIR,Kiribati,Oceania,Melanesia,116000.0,900,0.8,2.0,,
108,PRK,"Korea, DPR (North)",Asia,Eastern Asia,25405000.0,76000,0.3,3.0,,
109,KOR,"Korea, Republic of (South)",Asia,Eastern Asia,50705000.0,79000,0.2,2.0,39530.0,39470.0
110,XKS,Kosovo,Europe,Southern Europe,1831000.0,436000,23.8,2.0,43206.0,392794.0
111,KWT,Kuwait,Asia,Western Asia,4100000.0,685000,16.7,3.0,39000.0,646000.0
112,KGZ,Kyrgyzstan,Asia,Central Asia,6125000.0,171000,2.8,3.0,29237.0,141763.0
113,LAO,Lao People's Democratic Republic,Asia,South-eastern Asia,7038000.0,215000,3.0,3.0,,
114,LVA,Latvia,Europe,Northern Europe,1945000.0,205000,10.5,2.0,70000.0,135000.0
115,LBN,Lebanon,Asia,Western Asia,6039000.0,1927000,31.9,2.0,,
116,LSO,Lesotho,Africa,Southern Africa,2185000.0,105000,4.8,3.0,,
117,LBR,Liberia,Africa,Western Africa,4730000.0,97000,2.1,2.0,,
118,LBY,Libya,Africa,Northern Africa,6409000.0,851000,13.3,2.0,,
119,LIE,Liechtenstein,Europe,Western Europe,38000.0,11000,28.8,3.0,,
120,LTU,Lithuania,Europe,Northern Europe,2831000.0,385000,13.6,2.0,127984.0,257016.0
121,LUX,Luxembourg,Europe,Western Europe,584000.0,110000,18.9,1.0,86000.0,24000.0
122,MKD,"Macedonia, Former Yugoslav Republic of",Europe,Southern Europe,2083000.0,621000,29.8,2.0,169687.0,451313.0
123,MDG,Madagascar,Africa,Eastern Africa,25613000.0,168000,0.7,2.0,,
124,MWI,Malawi,Africa,Eastern Africa,18299000.0,47000,0.3,2.0,12500.0,34500.0
125,MYS,Malaysia,Asia,South-eastern Asia,31164000.0,217000,0.7,2.0,142038.0,74962.0
126,MDV,Maldives,Asia,Southern Asia,376000.0,23000,6.2,2.0,,
127,MLI,Mali,Africa,Western Africa,18690000.0,206000,1.1,2.0,,
128,MLT,Malta,Europe,Southern Europe,421000.0,119000,28.3,2.0,96425.0,22575.0
129,MHL,Marshall Islands,Oceania,Melanesia,53000.0,300,0.5,2.0,,
130,MTQ,Martinique,Americas,Caribbean,396000.0,34000,8.5,3.0,,
131,MRT,Mauritania,Africa,Western Africa,4266000.0,120000,2.8,2.0,,
132,MUS,Mauritius,Africa,Eastern Africa,1281000.0,106000,8.3,2.0,,
