ISO,Country,Continent,Subregion,Population,Estimate of firearms in civilian possession,Registered firearms,Unregistered firearms,Total law enforcement firearms,Total military firearms
GEO,Georgia,Asia,Western Asia,3973000.0,402000,159000.0,243000.0,41000,63950
GHA,Ghana,Africa,Western Africa,28657000.0,2280000,1236128.0,1043872.0,28000,18600
GIB,Gibraltar,Europe,Southern Europe,32000.0,1000,,,600,
GIN,Guinea,Africa,Western Africa,13291000.0,130000,,,13000,23080
GLP,Guadeloupe,Americas,Caribbean,472000.0,40000,5500.0,34500.0,2000,
GMB,Gambia,Africa,Western Africa,2120000.0,137000,,,5000,1080
GNB,Guinea-Bissau,Africa,Western Africa,1933000.0,29000,,,4000,10260
GNQ,Equatorial Guinea,Africa,Middle Africa,894000.0,112000,,,2000,2760
GRC,Greece,Europe,Southern Europe,10893000.0,1920000,1010000.0,910000.0,99000,642510
GRD,Grenada,Americas,Caribbean,108000.0,5000,,,1000,
GRL,Greenland,Americas,Northern America,56000.0,13000,,,300,
GTM,Guatemala,Americas,Central America,17005000.0,2062000,520792.0,1541208.0,43000,160600
GUF,French Guiana,Americas,South America,283000.0,55000,,,2000,
GUM,Guam,Oceania,Melanesia,174000.0,20000,,,500,
GUY,Guyana,Americas,South America,774000.0,122000,4000.0,118000.0,4000,10890
HKG,"Hong Kong SAR, China",Asia,Eastern Asia,7402000.0,265000,,,28000,
HND,Honduras,Americas,Central America,8305000.0,1171000,475000.0,696000.0,29000,107720
HRV,Croatia,Europe,Southern Europe,4210000.0,576000,390000.0,186000.0,,75120
HTI,Haiti,Americas,Caribbean,10983000.0,291000,20379.0,270621.0,15000,380
HUN,Hungary,Europe,Eastern Europe,9788000.0,1023000,211300.0,811700.0,17000,147880
IDN,Indonesia,Asia,South-eastern Asia,263510000.0,82000,41102.0,40898.0,429000,1711450
IND,India,Asia,Southern Asia,1342513000.0,71101000,9700000.0,61401000.0,1700000,3900000
IRL,Ireland,Europe,Northern Europe,4749000.0,342000,200000.0,142000.0,3000,26636
IRN,"Iran, Islamic Republic of",Asia,Southern Asia,80946000.0,5890000,,,98000,3333550
IRQ,Iraq,Asia,Western Asia,38654000.0,7588000,,,56000,611000
ISL,Iceland,Europe,Northern Europe,334000.0,106000,73000.0,33000.0,590,650
ISR,Israel,Asia,Western Asia,8323000.0,557000,290000.0,267000.0,41000,1016900
ITA,Italy,Europe,Southern Europe,59798000.0,8609000,2000000.0,6609000.0,273000,502960
JAM,Jamaica,Americas,Caribbean,2813000.0,246000,45915.0,200085.0,12000,8681
JOR,Jordan,Asia,Western Asia,7877000.0,1473000,120000.0,1353000.0,60000,286450
JPN,Japan,Asia,Eastern Asia,126045000.0,377000,175221.0,201779.0,252000,745514
KAZ,Kazakhstan,Asia,Central Asia,18064000.0,504000,284000.0,220000.0,65000,375690
KEN,Kenya,Africa,Eastern Africa,48467000.0,750000,8136.0,741864.0,51527,45790
KGZ,Kyrgyzstan,Asia,Central Asia,6125000.0,171000,29237.0,141763.0,18000,
KHM,Cambodia,Asia,South-eastern Asia,16076000.0,717000,,,64000,258670
KIR,Kiribati,Oceania,Melanesia,116000.0,900,,,200,
KNA,Saint Kitts and Nevis,Americas,Caribbean,57000.0,2000,,,600,
KOR,"Korea, Republic of (South)",Asia,Eastern Asia,50705000.0,79000,39530.0,39470.0,115000,2688020
KWT,Kuwait,Asia,Western Asia,4100000.0,685000,39000.0,646000.0,11000,
LAO,Lao People's Democratic Republic,Asia,South-eastern Asia,7038000.0,215000,,,21000,
LBN,Lebanon,Asia,Western Asia,6039000.0,1927000,,,41000,
LBR,Liberia,Africa,Western Africa,4730000.0,97000,,,5000,
LBY,Libya,Africa,Northern Africa,6409000.0,851000,,,-,
LCA,Saint Lucia,Americas,Caribbean,188000.0,6000,,,1000,
LIE,Liechtenstein,Europe,Western Europe,38000.0,11000,,,200,
LKA,Sri Lanka,Asia,Southern Asia,20905000.0,494000,35000.0,459000.0,134000,509700
LSO,Lesotho,Africa,Southern Africa,2185000.0,105000,,,5000,
LTU,Lithuania,Europe,Northern Europe,2831000.0,385000,127984.0,257016.0,17000,
LUX,Luxembourg,Europe,Western Europe,584000.0,110000,86000.0,24000.0,5000,
LVA,Latvia,Europe,Northern Europe,1945000.0,205000,70000.0,135000.0,17000,
MAC,"China, Macao SAR",Asia,Eastern Asia,606000.0,22000,,,,
MAF,Saint Martin (France),Americas,Caribbean,32000.0,3000,,,100,
MAR,Morocco,Africa,Northern Africa,35241000.0,1690000,,,91000,588020
MCO,Monaco,Europe,Western Europe,38000.0,7000,,,1000,
MDA,"Moldova, Republic of",Europe,Eastern Europe,4055000.0,121000,54663.0,66337.0,21000,98600
MDG,Madagascar,Africa,Eastern Africa,25613000.0,168000,,,20000,
MDV,Maldives,Asia,Southern Asia,376000.0,23000,,,3000,
MEX,Mexico,Americas,Central America,130223000.0,16809000,3118592.0,13690408.0,591000,895285
MHL,Marshall Islands,Oceania,Melanesia,53000.0,300,,,80,
MKD,"Macedonia, Former Yugoslav Republic of",Europe,Southern Europe,2083000.0,621000,169687.0,451313.0,21000,
MLI,Mali,Africa,Western Africa,18690000.0,206000,,,3000,15800
MLT,Malta,Europe,Southern Europe,421000.0,119000,96425.0,22575.0,1637,5547
MMR,Myanmar,Asia,South-eastern Asia,54836000.0,877000,,,76000,788900
MNE,Montenegro,Europe,Southern Europe,626000.0,245000,103536.0,141464.0,8000,5396
MNG,Mongolia,Asia,Eastern Asia,3052000.0,242000,46982.0,195018.0,7000,323400
MNP,Northern Mariana Islands,Oceania,Micronesia,56000.0,1000,,,80,
MOZ,Mozambique,Africa,Eastern Africa,29538000.0,1337000,7000.0,1330000.0,24000,60000
MRT,Mauritania,Africa,Western Africa,4266000.0,120000,,,10000,22820
MSR,Montserrat,Americas,Caribbean,5000.0,300,,,90,
MTQ,Martinique,Americas,Caribbean,396000.0,34000,,,1000,
MUS,Mauritius,Africa,Eastern Africa,1281000.0,106000,,,11000,4845
MWI,Malawi,Africa,Eastern Africa,18299000.0,47000,12500.0,34500.0,8400,
MYS,Malaysia,Asia,South-eastern Asia,31164000.0,217000,142038.0,74962.0,102000,428170
NAM,Namibia,Africa,Southern Africa,2569000.0,396000,200010.0,195990.0,15000,11880
NCL,New Caledonia,Oceania,Melanesia,270000.0,115000,55000.0,60000.0,700,
NCY,"Cyprus, North",Asia,Western Asia,349000.0,61000,49142.0,11858.0,,
NER,Niger,Africa,Western Africa,21564000.0,117000,2000.0,115000.0,10000,11110
NGA,Nigeria,Africa,Western Africa,191836000.0,6154000,,,362400,224200
NIC,Nicaragua,Americas,Central America,6218000.0,323000,142260.0,180740.0,8590,261800
NIR,Northern Ireland,Europe,Northern Europe,1873000.0,206000,153000.0,53000.0,13000,
NIR,Northern Ireland,Europe,Northern Ireland,1873000.0,206000,153000.0,53000.0,13000,
NLD,Netherlands,Europe,Western Europe,17033000.0,442000,205347.0,236653.0,96000,108676
NOR,Norway,Europe,Northern Europe,5331000.0,1537000,1254638.0,282362.0,13000,188646
NPL,Nepal,Asia,Southern Asia,29187000.0,444000,34315.0,409685.0,62000,183540
NRU,Nauru,Oceania,Melanesia,10000.0,-,,,60,
NZL,New Zealand,Oceania,Australia/New Zealand,4605000.0,1212000,1200000.0,12000.0,13000,38280
OMN,Oman,Asia,Western Asia,4741000.0,792000,,,31000,118360
PAK,Pakistan,Asia,Southern Asia,196744000.0,43917000,6000000.0,37917000.0,944000,2315480
PAN,Panama,Americas,Central America,4051000.0,436000,180000.0,256000.0,30000,
PER,Peru,Americas,South America,32166000.0,633000,365845.0,267155.0,142000,473400
PHL,Philippines,Asia,South-eastern Asia,103797000.0,3776000,1739000.0,2037000.0,139043,454700
PLW,Palau,Oceania,Melanesia,22000.0,100,,,30,
PNG,Papua New Guinea,Oceania,Melanesia,7934000.0,79000,27043.0,51957.0,4800,
PNT,Puntland,Africa,Eastern Africa,1995000.0,246000,,,8000,3600
PNT,Puntland State of Somalia,Africa,Eastern Africa,1995000.0,246000,,,8000,3600
POL,Poland,Europe,Eastern Europe,38564000.0,968000,380000.0,588000.0,188000,307200
PRI,Puerto Rico,Americas,Caribbean,3679000.0,422000,,,26000,
PRK,"Korea, DPR (North)",Asia,Eastern Asia,25405000.0,76000,,,76000,8363100
PRT,Portugal,Europe,Southern Europe,10265000.0,2186000,1400000.0,786000.0,89000,333640
PRY,Paraguay,Americas,South America,6812000.0,1140000,392000.0,748000.0,21000,235780
PSE,Palestinian Territories,Asia,Western Asia,4928000.0,56000,,,33000,44410
PSE,Palestinian Territories,Asia,Western Asia,4952000.0,56000,,,33000,44410
PYF,French Polynesia,Oceania,Polynesia,289000.0,7000,,,400,
QAT,Qatar,Asia,Western Asia,2338000.0,390000,,,5000,30680
