ISO,Country,Continent,Subregion,Year,Population,Estimate of firearms in civilian possession,Total law enforcement firearms,Total military firearms,"Estimate of firearms in civilian possession per 1,000","Total law enforcement firearms per 1,000","Total military firearms per 1,000",Total Homicides,Total Sexual and Violent Crime Counts,"Total Homicides per 1,000","Total Sexual and Violent Crime Rates per 1,000",Country GDP,"Country GDP per 1,000","Combined Crime Rate per 1,000","Total Firearms per 1,000"
FRA,France,Europe,Western Europe,2018,64939000.0,12732000,497000,566430.0,196.06091870832628,7.653336207825805,8.722493416898935,49441,838160,0.7613452624770939,12.906881842960317,2781580000000.0,42833736.2755817,13.668227105437412,212.43674833305104
GEO,Georgia,Asia,Western Asia,2018,3973000.0,402000,41000,63950.0,101.18298514976088,10.319657689403472,16.096149005789076,2137,704,0.5378806946891518,0.17719607349609864,17902544881.0,4506052.071734206,0.7150767681852505,127.59879184495342
DEU,Germany,Europe,Western Europe,2018,80636000.0,15822000,466000,483016.0,196.21509003422787,5.779056500818493,5.990078872959969,40324,446064,0.5000744084528002,5.531822014980902,4052010000000.0,50250632.4718488,6.031896423433702,207.98422540800632
GHA,Ghana,Africa,Sub-Saharan Africa,2018,28657000.0,2280000,28000,18600.0,79.5617126705517,0.9770736643751963,0.6490560770492375,968,66524,0.033778832396971076,2.321387444603413,67298914624.0,2348428.468576613,2.355166277000384,81.18784241197613
GRC,Greece,Europe,Southern Europe,2018,10893000.0,1920000,99000,642510.0,176.25998347562654,9.088405397961994,58.98375103277334,1268,2714,0.11640503075369503,0.24915083080877629,213299000000.0,19581290.73717066,0.36555586156247133,244.33213990636187
GTM,Guatemala,Americas,Latin America and the Caribbean,2018,17005000.0,2062000,43000,160600.0,121.25845339605998,2.528668038812114,9.444281093795942,160137,75580,9.417053807703617,4.444575124963246,73328365862.0,4312165.00217583,13.861628932666864,133.23140252866804
GUY,Guyana,Americas,Latin America and the Caribbean,2018,774000.0,122000,4000,10890.0,157.62273901808786,5.167958656330749,14.069767441860465,6204,2292,8.015503875968992,2.9612403100775193,4787636998.0,6185577.516795865,10.976744186046512,176.86046511627907
HTI,Haiti,Americas,Latin America and the Caribbean,2018,10983000.0,291000,15000,380.0,26.495493034689975,1.3657470636438132,0.034598925612309935,11817,1576,1.0759355367385959,0.14349449148684332,16403864618.0,1493568.662296276,1.219430028225439,27.8958390239461
HND,Honduras,Americas,Latin America and the Caribbean,2018,8305000.0,1171000,29000,107720.0,140.99939795304033,3.4918723660445514,12.970499698976521,156921,5267,18.894762191450933,0.6341962673088501,24067750760.0,2897983.2341962676,19.528958458759785,157.4617700180614
HUN,Hungary,Europe,Eastern Europe,2018,9788000.0,1023000,17000,147880.0,104.5157335512873,1.7368205966489578,15.108295872496935,3491,7356,0.356661217817736,0.7515324887617492,160566000000.0,16404372.701266857,1.1081937065794851,121.36085002043319
ISL,Iceland,Europe,Northern Europe,2018,334000.0,106000,590,650.0,317.36526946107784,1.7664670658682633,1.9461077844311379,114,1571,0.34131736526946105,4.703592814371257,26260850582.0,78625301.14371257,5.044910179640718,321.07784431137725
IRL,Ireland,Europe,Northern Europe,2018,4749000.0,342000,3000,26636.0,72.01516108654452,0.6317119393556537,5.608759738892398,1583,12532,0.3333333333333333,2.638871341335018,395461000000.0,83272478.41650873,2.9722046746683515,78.25563276479258
ISR,Israel,Asia,Western Asia,2018,8323000.0,557000,41000,1016900.0,66.92298450078097,4.926108374384237,122.17950258320317,573,77506,0.06884536825663823,9.312267211342064,375150000000.0,45073891.62561576,9.381112579598703,194.0285954583684
ITA,Italy,Europe,Southern Europe,2018,59798000.0,8609000,273000,502960.0,143.96802568647783,4.565370079266865,8.410983644937957,29515,169294,0.49357838054784436,2.8310980300344495,2099440000000.0,35108866.51727482,3.3246764105822937,156.94437941068264
JAM,Jamaica,Americas,Latin America and the Caribbean,2018,2813000.0,246000,12000,8681.0,87.45111980092427,4.265908282971917,3.086029150373267,58022,6392,20.626377532883044,2.272307145396374,15730792836.0,5592176.62140064,22.89868467827942,94.80305723426946
JOR,Jordan,Asia,Western Asia,2018,7877000.0,1473000,60000,286450.0,187.00012695188522,7.617113114129745,36.36536752570776,1333,3262,0.16922686301891582,0.41411704963818713,43370860704.0,5506012.53065888,0.583343912657103,230.98260759172274
