,Country Code,Country,Region,Subregion,Population,Total military firearms,Computation method
101,LUX,Luxembourg,Europe,Western Europe,584000,,2
102,MDG,Madagascar,Africa,Eastern Africa,25613000,,2
103,MDV,Maldives,Asia,Southern Asia,376000,,2
104,MWI,Malawi,Africa,Eastern Africa,18299000,,2
105,Country,Country,Region,Subregion,Population,Total military,Computation method
106,MYS,Malaysia,Asia,South-eastern Asia,31164000,428170,2
107,MLI,Mali,Africa,Western Africa,18690000,15800,2
108,MLT,Malta,Europe,Southern Europe,421000,5547,1
109,MRT,Mauritania,Africa,Western Africa,4266000,22820,2
110,MUS,Mauritius,Africa,Eastern Africa,1281000,4845,2
111,MEX,Mexico,Americas,Central America,130223000,895285,2
112,MDA,"Moldova, Republic of",Europe,Eastern Europe,4055000,98600,2
113,MNG,Mongolia,Asia,Eastern Asia,3052000,323400,2
114,MNE,Montenegro,Europe,Southern Europe,626000,5396,1
115,MAR,Morocco,Africa,Northern Africa,35241000,588020,2
116,Country,Country,Region,Subregion,Population,Total military,Computation method
117,MOZ,Mozambique,Africa,Eastern Africa,29538000,60000,2
118,MMR,Myanmar,Asia,South-eastern Asia,54836000,788900,2
119,NAM,Namibia,Africa,Southern Africa,2569000,11880,2
120,NPL,Nepal,Asia,Southern Asia,29187000,183540,2
121,NLD,Netherlands,Europe,Western Europe,17033000,108676,2
122,NZL,New Zealand,Oceania,Australia/New Zealand,4605000,38280,2
123,NIC,Nicaragua,Americas,Central America,6218000,261800,2
124,NER,Niger,Africa,Western Africa,21564000,11110,2
125,NGA,Nigeria,Africa,Western Africa,191836000,224200,2
126,NOR,Norway,Europe,Northern Europe,5331000,188646,1
127,OMN,Oman,Asia,Western Asia,4741000,118360,2
128,PAK,Pakistan,Asia,Southern Asia,196744000,2315480,2
129,PSE,Palestinian Territories,Asia,Western Asia,4928000,44410,2
130,Country,Country,Region,Subregion,Population,Total military,Computation method
131,PRY,Paraguay,Americas,South America,6812000,235780,2
132,PER,Peru,Americas,South America,32166000,473400,2
133,PHL,Philippines,Asia,South-eastern Asia,103797000,454700,2
134,POL,Poland,Europe,Eastern Europe,38564000,307200,2
135,PRT,Portugal,Europe,Southern Europe,10265000,333640,2
136,PNT,Puntland State of Somalia,Africa,Eastern Africa,1995000,3600,2
137,QAT,Qatar,Asia,Western Asia,2338000,30680,2
138,ROU,Romania,Europe,Eastern Europe,19238000,240180,2
139,RUS,Russian Federation,Europe,Eastern Europe,143375000,30272900,2
140,RWA,Rwanda,Africa,Eastern Africa,12160000,66500,2
141,STP,São Tomé and Principe,Africa,Middle Africa,198000,570,2
142,SAU,Saudi Arabia,Asia,Western Asia,32743000,481350,2
143,Country,Country,Region,Subregion,Population,Total military,Computation method
144,SEN,Senegal,Africa,Western Africa,16054000,16320,2
145,SRB,Serbia,Europe,Southern Europe,6946000,384422,1
146,SYC,Seychelles,Africa,Eastern Africa,98000,798,2
