,ISO,Country,Continent,Subregion,Population,Active Personel,Total firearms,Computation method
190,JOR,Jordan,Asia,Western Asia,7877000,40000,60000,2.0
193,KAZ,Kazakhstan,Asia,Central Asia,18064000,43475,65000,2.0
194,KEN,Kenya,Africa,Eastern Africa,48467000,43921,51527,1.0
197,KIR,Kiribati,Oceania,Melanesia,116000,300,200,2.0
198,PRK,"Korea, DPR (North)",Asia,Eastern Asia,25405000,180000,76000,2.0
199,KOR,"Korea, Republic of (South)",Asia,Eastern Asia,50705000,114658,115000,2.0
202,ISO,Country,Continent,Subregion,Population,Active,Law,
208,XKS,Kosovo,Europe,Southern Europe,1831000,11179,21000,2.0
211,KWT,Kuwait,Asia,Western Asia,4100000,7583,11000,2.0
212,KGZ,Kyrgyzstan,Asia,Central Asia,6125000,12000,18000,2.0
213,LAO,Lao People's Democratic Republic,Asia,South-eastern Asia,7038000,21049,21000,3.0
214,LVA,Latvia,Europe,Northern Europe,1945000,8758,17000,2.0
215,LBN,Lebanon,Asia,Western Asia,6039000,27594,41000,2.0
216,LSO,Lesotho,Africa,Southern Africa,2185000,3784,5000,2.0
217,LBR,Liberia,Africa,Western Africa,4730000,4100,5000,2.0
218,LBY,Libya,Africa,Northern Africa,6409000,20000,-,4.0
219,LIE,Liechtenstein,Europe,Western Europe,38000,84,200,2.0
220,LTU,Lithuania,Europe,Northern Europe,2831000,8915,17000,2.0
221,LUX,Luxembourg,Europe,Western Europe,584000,2383,5000,2.0
224,MDG,Madagascar,Africa,Eastern Africa,25613000,16372,20000,2.0
227,MWI,Malawi,Africa,Eastern Africa,18299000,6000,8400,1.0
228,MYS,Malaysia,Asia,South-eastern Asia,31164000,102000,102000,2.0
229,MDV,Maldives,Asia,Southern Asia,376000,3133,3000,2.0
230,MLI,Mali,Africa,Western Africa,18690000,2800,3000,2.0
233,MLT,Malta,Europe,Southern Europe,421000,2162,1637,1.0
234,MHL,Marshall Islands,Oceania,Melanesia,53000,99,80,3.0
235,MTQ,Martinique,Americas,Caribbean,396000,1124,1000,3.0
236,MRT,Mauritania,Africa,Western Africa,4266000,7970,10000,3.0
237,MUS,Mauritius,Africa,Eastern Africa,1281000,10709,11000,2.0
238,MEX,Mexico,Americas,Central America,130223000,454574,591000,2.0
245,FSM,"Micronesia, Fed. Sts.",Oceania,Micronesia,106000,197,200,3.0
246,MDA,"Moldova, Republic of",Europe,Eastern Europe,4055000,11071,21000,2.0
248,MCO,Monaco,Europe,Western Europe,38000,517,1000,2.0
249,MNG,Mongolia,Asia,Eastern Asia,3052000,6980,7000,2.0
250,MSR,Montserrat,Americas,Caribbean,5000,73,90,2.0
251,MNE,Montenegro,Europe,Southern Europe,626000,4015,8000,2.0
252,MAR,Morocco,Africa,Northern Africa,35241000,75975,91000,2.0
255,ISO,Country,Continent,Subregion,Population,Active,Law,
262,MOZ,Mozambique,Africa,Eastern Africa,29538000,20000,24000,1.0
263,MMR,Myanmar,Asia,South-eastern Asia,54836000,75640,76000,2.0
266,NAM,Namibia,Africa,Southern Africa,2569000,12438,15000,2.0
267,NRU,Nauru,Oceania,Melanesia,10000,80,60,2.0
268,NPL,Nepal,Asia,Southern Asia,29187000,62000,62000,2.0
271,NLD,Netherlands,Europe,Western Europe,17033000,50509,96000,2.0
272,NCL,New Caledonia,Oceania,Melanesia,270000,504,700,3.0
273,NZL,New Zealand,Oceania,Australia/New Zealand,4605000,8783,13000,2.0
274,NIC,Nicaragua,Americas,Central America,6218000,9749,8590,1.0
275,NER,Niger,Africa,Western Africa,21564000,8700,10000,2.0
278,NGA,Nigeria,Africa,Western Africa,191836000,318158,362400,1.0
281,NIR,Northern Ireland,Europe,Northern Europe,1873000,6682,13000,2.0
282,MNP,Northern Mariana Islands,Oceania,Micronesia,56000,104,80,3.0
283,NOR,Norway,Europe,Northern Europe,5331000,11000,13000,1.0
284,OMN,Oman,Asia,Western Asia,4741000,20648,31000,3.0
285,PAK,Pakistan,Asia,Southern Asia,196744000,629587,944000,2.0
288,PLW,Palau,Oceania,Melanesia,22000,41,30,3.0
289,PSE,Palestinian Territories,Asia,Western Asia,4928000,22000,33000,2.0
