,Country Code,Country,Region,Subregion,Population,Category,Undefined,Total military firearms,Firearms in subcategories,Computation method
160,IND,India,Asia,Southern Asia,1342513000,,"country total
all active military",3900000,-,1
164,IDN,Indonesia,Asia,South-eastern Asia,263510000,,"country total
all active military",1711450,751450,2
167,IRN,"Iran, Islamic Republic of",Asia,Southern Asia,80946000,,"country total
all active military",3333550,1338550,2
171,Country,Country,Region,Subregion,Population,,Category,Total military,Firearms in sub-,Computation method
173,IRQ,Iraq,Asia,Western Asia,38654000,,"country total
all active military",611000,166400,2
177,IRL,Ireland,Europe,Northern Europe,4749000,,"country total
all active military",26636,23660,2
179,ISR,Israel,Asia,Western Asia,8323000,,"country total
all active military",1016900,458900,2
181,ITA,Italy,Europe,Southern Europe,59798000,,"country total
all active military",502960,453700,2
184,JAM,Jamaica,Americas,Caribbean,2813000,,"country total
all active military",8681,7505,1
186,JPN,Japan,Asia,Eastern Asia,126045000,,"country total
all active military",745514,642590,2
189,JOR,Jordan,Asia,Western Asia,7877000,,"country total
all active military",286450,190950,2
192,KAZ,Kazakhstan,Asia,Central Asia,18064000,,"country total
all active military",375690,315840,2
194,KEN,Kenya,Africa,Eastern Africa,48467000,,all active military,45790,,2
195,PRK,"Korea, DPR (North)",Asia,Eastern Asia,25405000,,"country total
all active military",8363100,6144000,2
199,KOR,"Korea, Republic of (South)",Asia,Eastern Asia,50705000,,country total,2688020,,2
200,Country,Country,Region,Subregion,Population,,Category                                              Total military,,Firearms in sub-,Computation method
205,XKS,Kosovo,Europe,Southern Europe,1831000,,"Kosovo Security Force                                        9,500",,,2
206,KWT,Kuwait,Asia,Western Asia,4100000,,"country total                                                     82,580
all active military",,40300,2
210,KGZ,Kyrgyzstan,Asia,Central Asia,6125000,,"country total                                                   145,010
all active military",,58560,2
213,LAO,Lao People's Democratic Republic,Asia,South-eastern Asia,7038000,,"country total                                                   224,690
all active military",,104690,2
215,LVA,Latvia,Europe,Northern Europe,1945000,,"country total                                                     27,936
all active military",,13806,2
217,LBN,Lebanon,Asia,Western Asia,6039000,,"country total                                                   130,150
all active military",,114000,2
219,LSO,Lesotho,Africa,Southern Africa,2185000,,"all active military                                                2,400",,,2
220,LBR,Liberia,Africa,Western Africa,4730000,,"all active military                                                2,520",,,2
221,LBY,Libya,Africa,Northern Africa,6409000,,"country total                                                               ?
Government of National Accord (Tripoli)",,-,4
223,LTU,Lithuania,Europe,Northern Europe,2831000,,"country total                                                     81,240
all active military",,47710,2
226,LUX,Luxembourg,Europe,Western Europe,584000,,"all active military                                                2,340",,,2
227,MDG,Madagascar,Africa,Eastern Africa,25613000,,"all active military                                              25,320",,,2
228,MDV,Maldives,Asia,Southern Asia,376000,,"Maldives National Defence Force                      9,500",,,2
229,MWI,Malawi,Africa,Eastern Africa,18299000,,"country total                                                     24,480",,,2
230,Country,Country,Region,Subregion,Population,,Category,Total military,Firearms in sub-,Computation method
234,MYS,Malaysia,Asia,South-eastern Asia,31164000,,"country total
all active military",428170,336700,2
238,MLI,Mali,Africa,Western Africa,18690000,,"country total
all active military",15800,12000,2
241,MLT,Malta,Europe,Southern Europe,421000,,"country total
all active military",5547,5070,1
243,MRT,Mauritania,Africa,Western Africa,4266000,,"country total
all active military",22820,19020,2
245,MUS,Mauritius,Africa,Eastern Africa,1281000,,paramilitary forces,4845,,2
246,MEX,Mexico,Americas,Central America,130223000,,"country total
all active military",895285,526585,2
249,MDA,"Moldova, Republic of",Europe,Eastern Europe,4055000,,"country total
all active military",98600,24440,2
252,MNG,Mongolia,Asia,Eastern Asia,3052000,,"country total
all active military",323400,66300,2
257,MNE,Montenegro,Europe,Southern Europe,626000,,all active military,5396,,1
258,MAR,Morocco,Africa,Northern Africa,35241000,,"country total
all active military",588020,372020,2
260,Country,Country,Region,Subregion,Population,,Category,Total military,Firearms in sub-,Computation method
263,MOZ,Mozambique,Africa,Eastern Africa,29538000,,all active military,60000,,2
264,MMR,Myanmar,Asia,South-eastern Asia,54836000,,"country total
all active military",788900,771400,2
266,NAM,Namibia,Africa,Southern Africa,2569000,,all active military,11880,,2
267,NPL,Nepal,Asia,Southern Asia,29187000,,all active military,183540,,2
